,match_id,official_rank,date,map,team_1,team_1_score,team_2,team_2_score,KDA
59,229412362,Gold Nova I,2024-12-15 17:39:59.474787,de_mirage,"['Kamusta buhay buhay', 'Feet Nakadashi', 'ℂ𝕩𝟛𝟛𝟘⚡', 'The㎗evil', 'donk666']",2,"['Bot HeNrY', '*星蓝*', 'Misaki Mei', '皓瀚心空   (☹)', 'Evolcat']",13,"['95', '95', '18']"
60,229412349,Gold Nova I,2024-12-15 17:39:59.570733,de_mirage,"['som 水', 'Gr3nad3n', 'Mitch', 'Plop', 'Thirsti♿']",13,"['! Wan', '!PappaPielietjies!', 'Piff the Magic Dragon', 'Instinctツ', 'Sonneblom#!']",3,"['113', '113', '33']"
61,229412538,Silver II,2024-12-15 17:40:00.004170,de_mirage,"['muzhaidov1990', 'CartmanPL', '', '✞༒卂尺乙༒✞', 'UniVity']",2,"['Tk9', 'MaŁyy key-drop.pl', '༺Leͥgeͣnͫd༻', 'marceldeboer1', 'Killdelay']",13,"['101', '102', '28']"
62,229412512,Silver III,2024-12-15 17:40:00.087240,de_mirage,"['łamb', 'lama', 'Nicolas Jackson', 'ScienceTomaTo', 'да']",1,"['Makambee', 'Pinki', 'SNKKEYDROP', 'HexRyu', 'Faworek[PL]']",13,"['99', '103', '25']"
63,229412040,Master Guardian I,2024-12-15 17:40:00.170618,de_dust2,"[""' 21"", '👽︎αℓι̇єи', 'Meppijdiloro', 'Levi_AkKerman', 'VASILEK666']",11,"['Sheezzza', 'Holy Poly', 'Just Naaby', 'akkawakaa', 'Dowi']",3,"['84', '86', '23']"
64,229412498,Master Guardian I,2024-12-15 17:40:00.340908,de_dust2,"['19', 'Airean', '芜湖白给', 'Commissar Cova†', 'Cultist']",13,"['ONZiG7', 'Re1koN', 'RaptoR Какого-то хуя', 'Franky27rus', '이백호']",4,"['123', '124', '40']"
65,229412356,Gold Nova Master,2024-12-15 17:40:00.420761,de_overpass,"['Delah', 'BluePanda', 'Dejwme1sTer', 'Sralo', '']",2,"['Pink_Pony__', '[PROPHET]', 'gyatt', 'SaknarFuchs', 'alme11k']",13,"['111', '111', '31']"
66,229412447,Gold Nova II,2024-12-15 17:40:00.499391,de_dust2,"['СтволХохотун', 'OneTap^^', 'Wasted', 'MUVAHID', 'ВОЛК по жизни']",1,"['CEMAL PAŞA', ""s'avcı"", '『Excellent』', 'Pinkman', 'EL Kænte']",13,"['102', '102', '22']"
67,229412377,Silver II,2024-12-15 17:40:00.577425,de_train,"['Sazo', 'stuggy', 'Hamion', 'kickez', 'autist']",4,"['PeeK4Y', 'The Hunter_2612', 'Bigfarmer', 'Excidia', 'franky']",13,"['114', '118', '35']"
68,229419267,Silver Elite Master,2024-12-15 18:45:26.790251,de_nuke,"['ztl', '生存die师', 'yituogoushi', '古月方源', '穗']",1,"['R1ny', 'Kumo', 'AMT_MInAtO', 'NinjaRider_Tam', '洗衣机里游泳']",2,"['15', '16', '5']"
69,229419788,Gold Nova III,2024-12-15 18:45:26.892310,de_dust2,"['ツNook☣〤☠', 'Pinky D.booster', 'Sensei', ""Tox1k's"", 'ayukkoneN']",4,"['Krouvy', 'CENGGS', '$vY@ToY_0T€Ll,', 'Koe', 'кирил']",2,"['34', '39', '12']"
70,229419346,Gold Nova Master,2024-12-15 18:45:27.013087,cs_italy,"['Tt.ZOD1VK Leport!', 'NBKI', 'henio', 'jaMICHAL', 'Tesa']",2,"['Luki', 'Ynsect', 'Koisame', 'Пятачок', 'Duckcrusher']",2,"['21', '22', '4']"
71,229419450,Gold Nova II,2024-12-15 18:45:27.238310,de_anubis,"['⭕⃤ ZLOY', 'ТУРПУЛЬКА', 'NEFARTIT', 'амеьмбе', '']",0,"['♏Marc Spector♏', 'force', 'Я_ЕсТь_СтрЕлоК_От_', 'Melody', 'Blackmarket']",13,"['22', '27', '3']"
72,229418915,Silver Elite Master,2024-12-15 18:45:27.427832,de_inferno,"['dukethekiller', 'Riche Saros', 'Kafka', 'Swanzy', 'ibrahimbostan61']",3,"['ϡ xPASHA', 'Veins', 'istrebutel', 'HULITAM']",0,"['15', '15', '6']"
73,229419257,Silver Elite Master,2024-12-15 18:45:27.524031,de_nuke,"['lopapap', 'ogyres228777666', 'Avdei12287', 'ＪＯＫＥＲ', 'R7']",1,"['F͎i͎a͎t͎ ͎D͎u͎c͎a͎t͎o', 'plump.', 'Bob1k', '78931256124938757', 'privet&%*&$#*(gld;']",6,"['45', '47', '17']"
74,229419794,Distinguished Master Guardian,2024-12-15 18:45:27.689371,de_dust2,"['lucidusros', 'YC-CWA', '$', '조댕', 'DONOR@']",0,"['Nacas', 'HT', 'sur', 'OooYa', 'ZZ']",13,"['88', '88', '22']"
75,229419798,Silver I,2024-12-15 18:45:27.886310,de_mirage,"['Aron', 'H1neshž', 'stalker', 'petu.vasicek', 'Tamiyama']",13,"['Pannieznany PL', 'mamon011', 'Młody Mataczak', 'НЕИЗВЕСТНЫЙ', '']",1,"['92', '97', '26']"
76,229419351,Silver IV,2024-12-15 18:45:28.100054,de_ancient,"['Ankylon', 'Stradale', 'Sebeka', 'Pingvinchik48', 'KYB']",6,"['last wint3r', 'pup', 'Decent', 'SvyatGame', 'ocvintarnij']",2,"['42', '45', '14']"
77,229418348,Silver IV,2024-12-15 18:45:28.209175,de_anubis,"['BoBr', '\U000e0021\U000e0021', '', 'lxst', 'うそつき</3³']",5,"['Fuckshit_12', 'tasgunmuhamed', 'Keici232', 'formula 1 peek', 'мегафликер228']",1,"['33', '34', '5']"
78,229419802,Gold Nova III,2024-12-15 18:45:28.324893,de_mirage,"['выблядок', '39-5812', 'IMode', 'skrill', 'Snance']",2,"[""iMP'1.5IQMATEAGAIN"", 'Nikön', '辉夜AXON', 'DEDA ebët tebя', 'KlaineRib']",13,"['109', '110', '34']"
79,229419051,Silver Elite Master,2024-12-15 18:45:28.408143,de_dust2,"['Naxlov', '𝓡𝓞𝓝𝓐𝓛𝓓𝓞', 'zoola CASE.GIFT', 'Vifo560', 'mesi6cm']",2,"['f4', 'xzmpl', 'A K A', 'Koro Machina', 'Gabba']",7,"['54', '54', '18']"
80,229419787,Silver IV,2024-12-15 18:45:28.519718,de_mirage,"['НИЛУС', 'PlayerUnkn6wn', 'zxc', 'MRMargodka', '']",0,"['『𝕊𝔸𝕄ℙ𝔼ℝ』', 'ян гол', 'Матто', 'flam1kq', 'gasstor']",13,"['87', '90', '25']"
81,229419284,Silver IV,2024-12-15 18:45:28.737028,cs_italy,"['GGWP', 'Vendetta', 'BOZAYI', 'RazorRamon', 'Vic Rattlehead']",1,"['NightGal', 'kostjalahe', 'A.K', 'Kullpull', 'HeroBaby']",10,"['69', '71', '27']"
82,229419542,Silver Elite Master,2024-12-15 18:45:28.819163,de_mirage,"['☭ saNTAFlex ☭', '☣\u2067\u2067Shadow_SAABツ', 'Bulls', 'Randevu', 'sutnays']",8,"['✪ titou', 'Momento', 'FIAT-PEEK', 'fwerngne', 'o11oo1o1o1o1o1o1']",7,"['101', '107', '25']"
83,229419248,Silver II,2024-12-15 18:45:28.905272,de_train,"['BaldGorilla', 'Tjollerfan', 'opti', 'Avstall', 'Joker']",13,"['Pecsii09', 'Murphy', '', '', 'Aurora']",0,"['66', '69', '11']"
84,229419070,Gold Nova I,2024-12-15 18:45:29.370182,de_train,"['辣妹王淑芬', '桜都™', 'King Rain', 'фрик', '你看不见我']",2,"['akaiu', 'lovilom', 'BaD DoG', 'BerserK', '\U000e0066\U000e0066\U000e0066\U000e0066\U000e0066\U000e0066']",8,"['63', '68', '19']"
85,229419815,Silver III,2024-12-15 18:45:29.601494,de_train,"['| I t a d o r i   Y u u j i |', '90194101409154901509094109', 'tixodka', 'NeVzAt', 'ANAKİN SİKİYÜRÜYEN']",3,"['Модератор тикток', 'katex<3', 'Daniel Szymczyk “CASE.GIFT”', 'DiSi11', 'PEEKABOO']",13,"['100', '105', '25']"
86,229419732,Gold Nova Master,2024-12-15 18:45:29.695136,de_train,"['Tyn3', 'BurgerCat', 'NIQQI-', 'Ulokek', 'Kaspi Bank']",13,"['bezdk.', 'Vikram', 'AssGrabWolf', 'tender kisser', 'monterey']",3,"['114', '118', '27']"
87,229419572,Gold Nova Master,2024-12-15 18:45:29.780050,de_inferno,"['✪ -Reznov""-', 'shady', 'Kaiser', 'VxPE', 'drifter']",13,"['✪ ᴅᴀʀᴛʜ ᴠᴀᴅᴇʀ', 'MeNooB™', 'AJ007', 'D', 'Spidey']",1,"['96', '97', '22']"
88,229418308,Gold Nova I,2024-12-15 18:45:29.877734,de_mirage,"['Rehab20011', 'LAZARUS ♡', 'Skibidi Cosby', 'Mystic', 'farjadkhalil7']",5,"['dOpe jAm', 'STARK', 'PLAT000', 'Mustard On The BEAT']",1,"['29', '30', '5']"
89,229418220,Master Guardian I,2024-12-15 18:45:29.959739,de_mirage,"['Rafskiy', 'Nas', 'SILVER 1', 'DEADSHOT', 'Darwin Frown']",5,"['b0o5t', 'Teh Tarik', 'dyson v8 slim fluffy vacuum', 'JELLY FISH', 'active terrorist']",1,"['36', '41', '13']"
90,229419834,Gold Nova III,2024-12-15 18:45:36.647186,de_dust2,"['FACASAHİN', 'Gleangalon', 'ROFL_101 absolut v potoke 240km', 'akme', 'Sfinksxend']",13,"['| Uveys |', 'Петро Пiдiдiшенко', '안녕zera', 'парт', 'skboj']",1,"['90', '93', '31']"
